neg_pos_ratio,n,dev_micro_f1_mean,dev_micro_f1_std(pstdev),test_micro_f1_mean,test_micro_f1_std(pstdev)
-1.0,5,0.6310399999999999,0.038949896020400346,0.5936600000000001,0.09927991941979003
1.0,5,0.4284,0.04672763636222146,0.42869999999999997,0.139114341460541
2.0,5,0.51262,0.049633835233638755,0.48118,0.10923137644468277
4.0,5,0.5689599999999999,0.07537998673388052,0.5318,0.09205005160237555
